model,evaluation_period,wape_percent,mae,rmse,bias_percent,actual_total,forecast_total,evaluation_rows,folds,forecast_horizon_weeks,minimum_training_weeks,mean_fold_wape_percent,std_fold_wape_percent,minimum_fold_wape_percent,maximum_fold_wape_percent,overall_rank
HistGradientBoosting,Rolling-Origin Cross-Validation,44.576048427552486,59.04441221269289,111.77957246538769,2.2664397990350897,635797.0,650206.9562490712,4800,4,8,52,44.59818019334234,2.0672069111072626,42.63257055967248,48.02402628746088,1
RandomForest,Rolling-Origin Cross-Validation,45.19489029241754,59.8641159651004,102.83013879346387,9.205511533046714,635797.0,694325.366161765,4800,4,8,52,45.262090016625976,2.4976115555159817,42.78764432703257,49.08407292172598,2
Naive - Previous Week,Rolling-Origin Cross-Validation,51.15563615430712,67.75958333333334,126.52018448980121,-0.47436524551075265,635797.0,632781.0,4800,4,8,52,51.188901255964836,1.184936538093593,49.42213791407595,52.72384889486298,3
Seasonal Naive - 52 Weeks,Rolling-Origin Cross-Validation,74.45206567505038,98.6175,239.96120085686073,-63.76249022879944,635797.0,230397.0,4800,4,8,52,74.04197888899795,12.264646427110723,58.1178847731603,91.09165550646458,4
