week_start,week_end,actual_total,forecast_total,absolute_error_total,mean_absolute_error,mean_squared_error,sku_count,rmse,forecast_error_total,wape_percent,bias_percent
2024-09-30,2024-10-06,21076,19619.86710168208,8205.752531576572,54.70501687717715,10142.720165270364,150,100.71107270439713,-1456.1328983179192,38.93410766548004,-6.908962318836208
2024-10-07,2024-10-13,20546,20567.160764803113,7261.174712500769,48.40783141667179,6988.379761318629,150,83.59652960092679,21.160764803113125,35.34106255475892,0.10299213863094095
2024-10-14,2024-10-20,22253,20123.258367909533,7015.5018683902035,46.77001245593469,7397.86408676586,150,86.01083703095709,-2129.7416320904667,31.526094766504308,-9.570582088214923
2024-10-21,2024-10-27,23613,20858.082852486805,8617.047321631022,57.446982144206814,8349.333960782218,150,91.37468993535474,-2754.9171475131952,36.49281040795758,-11.66695103338498
2024-10-28,2024-11-03,23031,22123.872369713677,8476.172528526176,56.507816856841174,9635.753850470286,150,98.16187574853227,-907.1276302863225,36.803319562876894,-3.938724459581966
2024-11-04,2024-11-10,22864,22786.77650454202,8130.901942632406,54.2060129508827,7416.637069991819,150,86.11989938447338,-77.22349545797988,35.562027390799535,-0.33775146718850546
2024-11-11,2024-11-17,22584,22381.01364400779,9288.294042336658,61.921960282244385,9992.122396011946,150,99.96060421992229,-202.9863559922087,41.12776320552895,-0.8988060396396065
2024-11-18,2024-11-24,21216,22713.09596301162,8768.034454906194,58.45356303270796,12268.873088024233,150,110.76494521293382,1497.0959630116195,41.32746255140552,7.05644778945899
2024-11-25,2024-12-01,19911,23271.605346793425,8828.834912977869,58.85889941985246,7641.924108386578,150,87.41809943247782,3360.6053467934253,44.34149421414228,16.87813443219037
2024-12-02,2024-12-08,21764,23818.79436067981,9081.504388657311,60.54336259104874,9343.514231039424,150,96.66185509827247,2054.794360679811,41.72718428899702,9.441253265391522
2024-12-09,2024-12-15,18996,24024.639083261507,9503.250884911453,63.35500589940968,11685.376278186395,150,108.09891895012825,5028.639083261507,50.027642055756225,26.472094563389696
2024-12-16,2024-12-22,21385,23884.924922698938,9086.375067699675,60.5758337846645,9994.6699056892,150,99.97334597626109,2499.9249226989377,42.4894789230754,11.690086147762159
2024-12-23,2024-12-29,22103,23442.426397533272,8900.378633724678,59.33585755816452,9204.084745357442,150,95.93792131038406,1339.4263975332724,40.267740278354424,6.0599303150399155
